"o1"	"name"	"birthYear"
"http://dbpedia.org/resource/Erik_Grønseth"	"Wittenberg University"	1925
"http://dbpedia.org/resource/Erik_Grønseth"	"New School for Social Research"	1925
"http://dbpedia.org/resource/David_Malet_Armstrong"	"University of Sydney"	1926
"http://dbpedia.org/resource/Margaret_Laurence"	"University of Winnipeg"	1926
"http://dbpedia.org/resource/Gisèle_Halimi"	"Sciences Po"	1927
"http://dbpedia.org/resource/Gisèle_Halimi"	"University of Paris"	1927
"http://dbpedia.org/resource/Cornelius_O'Leary"	"University College Cork"	1927
"http://dbpedia.org/resource/Bogusław_Wolniewicz"	"University of Warsaw"	1927
"http://dbpedia.org/resource/Cornelius_O'Leary"	"Nuffield College, Oxford"	1927
"http://dbpedia.org/resource/Barbara_Bergmann"	"Cornell University"	1927
"http://dbpedia.org/resource/Fatou_Djibo"	"École normal de Rufisque"	1927
"http://dbpedia.org/resource/Barbara_Bergmann"	"Harvard University"	1927
"http://dbpedia.org/resource/Jane_Arden_(director)"	"Royal Academy of Dramatic Art"	1927
"http://dbpedia.org/resource/Sylvia_Wynter"	"King's College London"	1928
"http://dbpedia.org/resource/Gerald_Stourzh"	"University of Vienna"	1929
"http://dbpedia.org/resource/Alejandro_Jodorowsky"	"University of Chile"	1929
"http://dbpedia.org/resource/Maryly_Van_Leer_Peck"	"University of Florida"	1930
"http://dbpedia.org/resource/Maryly_Van_Leer_Peck"	"Vanderbilt University"	1930
"http://dbpedia.org/resource/Luce_Irigaray"	"Catholic University of Leuven (1834–1968)"	1930
"http://dbpedia.org/resource/Roberta_Kalechofsky"	"Brooklyn College"	1931
"http://dbpedia.org/resource/Roberta_Kalechofsky"	"New York University"	1931
"http://dbpedia.org/resource/Kumari_Jayawardena"	"London School of Economics"	1931
"http://dbpedia.org/resource/Alix_Kates_Shulman"	"Case Western Reserve University"	1932
"http://dbpedia.org/resource/Sylvia_Plath"	"University of Cambridge"	1932
"http://dbpedia.org/resource/Alix_Kates_Shulman"	"Columbia University"	1932
"http://dbpedia.org/resource/Sylvia_Plath"	"Smith College"	1932
"http://dbpedia.org/resource/Hamid_Dalwai"	"Ismail Yusuf College"	1932
"http://dbpedia.org/resource/Alix_Kates_Shulman"	"New York University"	1932
"http://dbpedia.org/resource/Hamid_Dalwai"	"Ruparel College"	1932
"http://dbpedia.org/resource/Rhina_Espaillat"	"Queens College, City University of New York"	1932
"http://dbpedia.org/resource/Rhina_Espaillat"	"Hunter College"	1932
"http://dbpedia.org/resource/Christopher_Lasch"	"Columbia University"	1932
"http://dbpedia.org/resource/Anthony_Perkins"	"Columbia University"	1932
"http://dbpedia.org/resource/Christopher_Lasch"	"Harvard University"	1932
"http://dbpedia.org/resource/C._K._Stead"	"University of Auckland"	1932
"http://dbpedia.org/resource/Elizabeth_Evatt"	"University of Sydney"	1933
"http://dbpedia.org/resource/Nancy_Friday"	"Wellesley College"	1933
"http://dbpedia.org/resource/Elizabeth_Evatt"	"Harvard University"	1933
"http://dbpedia.org/resource/Jacqueline_Ki-Zerbo"	"Sorbonne"	1933
"http://dbpedia.org/resource/Leda_Sanford"	"Fashion Institute of Technology"	1933
"http://dbpedia.org/resource/Sugathakumari"	"Government College for Women, Thiruvananthapuram"	1934
"http://dbpedia.org/resource/Sugathakumari"	"University College, Thiruvananthapuram"	1934
"http://dbpedia.org/resource/Lidia_Falcón"	"University of Barcelona"	1935
"http://dbpedia.org/resource/Clay_Smothers"	"Prairie View A&M University"	1935
"http://dbpedia.org/resource/Muzi_Epifani"	"Sapienza University of Rome"	1935
"http://dbpedia.org/resource/D._M._Thomas"	"New College, Oxford"	1935
"http://dbpedia.org/resource/Carolyn_Merchant"	"University of Wisconsin–Madison"	1936
"http://dbpedia.org/resource/Marianne_Githens"	"London School of Economics"	1936
"http://dbpedia.org/resource/Alan_Alda"	"Fordham University"	1936
"http://dbpedia.org/resource/Bonnie_Strickland"	"Ohio State University"	1936
"http://dbpedia.org/resource/Elizabeth_Peer"	"Connecticut College"	1936
"http://dbpedia.org/resource/Evelyn_Stokes"	"Syracuse University"	1936
"http://dbpedia.org/resource/June_Jordan"	"Barnard College"	1936
"http://dbpedia.org/resource/Suzette_Haden_Elgin"	"University of California, San Diego"	1936
"http://dbpedia.org/resource/Assia_Djebar"	"École Normale Supérieure"	1936
"http://dbpedia.org/resource/Sally_Hacker"	"University of Chicago"	1936
"http://dbpedia.org/resource/Alicia_Ostriker"	"Brandeis University"	1937
"http://dbpedia.org/resource/Alicia_Ostriker"	"University of Wisconsin–Madison"	1937
"http://dbpedia.org/resource/Luigi_Calabresi"	"Sapienza University of Rome"	1937
"http://dbpedia.org/resource/Hedy_d'Ancona"	"University of Amsterdam"	1937
"http://dbpedia.org/resource/Hedy_d'Ancona"	"Bachelor of Social Science"	1937
"http://dbpedia.org/resource/Hedy_d'Ancona"	"Master of Social Science"	1937
"http://dbpedia.org/resource/Diane_Nash"	"Howard University"	1938
"http://dbpedia.org/resource/Diane_Nash"	"Fisk University"	1938
"http://dbpedia.org/resource/Marcia_Freedman"	"New York University"	1938
"http://dbpedia.org/resource/Diana_E._H._Russell"	"University of Cape Town"	1938
"http://dbpedia.org/resource/Diana_E._H._Russell"	"London School of Economics"	1938
"http://dbpedia.org/resource/Diana_E._H._Russell"	"Harvard University"	1938
"http://dbpedia.org/resource/Pedro_Pablo_Kuczynski"	"Princeton University"	1938
"http://dbpedia.org/resource/Uta_Gerhardt"	"University of Konstanz"	1938
"http://dbpedia.org/resource/Pedro_Pablo_Kuczynski"	"Exeter College, Oxford"	1938
"http://dbpedia.org/resource/Gemma_Hussey"	"University College Dublin"	1938
"http://dbpedia.org/resource/Eleanor_Smeal"	"University of Florida"	1939
"http://dbpedia.org/resource/Eleanor_Smeal"	"Duke University"	1939
"http://dbpedia.org/resource/Esther_Eillam"	"Tel Aviv University"	1939
"http://dbpedia.org/resource/Judy_Chicago"	"University of California, Los Angeles"	1939
"http://dbpedia.org/resource/Nancy_Azara"	"Empire State College"	1939
"http://dbpedia.org/resource/Nancy_Azara"	"Finch College"	1939
"http://dbpedia.org/resource/Igor_Mandić"	"University of Zagreb"	1939
"http://dbpedia.org/resource/Wangari_Maathai"	"Benedictine College"	1940
"http://dbpedia.org/resource/Wangari_Maathai"	"University of Giessen"	1940
"http://dbpedia.org/resource/Wangari_Maathai"	"University of Nairobi"	1940
"http://dbpedia.org/resource/Wangari_Maathai"	"University of Pittsburgh"	1940
"http://dbpedia.org/resource/Vesna_Pešić"	"University of Belgrade"	1940
"http://dbpedia.org/resource/Angela_Carter"	"University of Bristol"	1940
"http://dbpedia.org/resource/Carole_Pateman"	"University of Oxford"	1940
"http://dbpedia.org/resource/Zsuzsanna_Budapest"	"University of Vienna"	1940
"http://dbpedia.org/resource/Patrick_Stewart"	"Bristol Old Vic Theatre School"	1940
"http://dbpedia.org/resource/Homa_Darabi"	"Tehran University of Medical Sciences"	1940
"http://dbpedia.org/resource/Helen_Potrebenko"	"University of British Columbia"	1940
"http://dbpedia.org/resource/Dora_Barrancos"	"University of Buenos Aires"	1940
"http://dbpedia.org/resource/Suzana_Prates"	"Latin American Faculty of Social Sciences"	1940
