"o1"	"name"	"birthYear"
"http://dbpedia.org/resource/Lide_Meriwether"	"Lide Meriwether"	1829
"http://dbpedia.org/resource/Louise_Michel"	"Louise Michel"	1830
"http://dbpedia.org/resource/Emily_Dickinson"	"Emily Dickinson"	1830
"http://dbpedia.org/resource/Fanny_Hertz"	"Fanny Hertz"	1830
"http://dbpedia.org/resource/Karolina_Světlá"	"Karolina Světlá"	1830
"http://dbpedia.org/resource/Anna_Leonowens"	"Anna Leonowens"	1831
"http://dbpedia.org/resource/Marie-Louise_Gagneur"	"Marie-Louise Gagneur"	1832
"http://dbpedia.org/resource/Louisa_May_Alcott"	"Louisa May Alcott"	1832
"http://dbpedia.org/resource/Céleste_Hardouin"	"Céleste Hardouin"	1832
"http://dbpedia.org/resource/Marie_Calm"	"Marie Calm"	1832
"http://dbpedia.org/resource/Barbare_Jorjadze"	"Barbare Jorjadze"	1833
"http://dbpedia.org/resource/Anna_Stang"	"Anna Stang"	1834
"http://dbpedia.org/resource/Mariane_van_Hogendorp"	"Mariane van Hogendorp"	1834
"http://dbpedia.org/resource/Faustina_Sáez_de_Melgar"	"Faustina Sáez de Melgar"	1834
"http://dbpedia.org/resource/Emily_Faithfull"	"Emily Faithfull"	1835
"http://dbpedia.org/resource/Elizabeth_Garrett_Anderson"	"Elizabeth Garrett Anderson"	1836
"http://dbpedia.org/resource/Louisa_Hubbard"	"Louisa Hubbard"	1836
"http://dbpedia.org/resource/Anna_Filosofova"	"Anna Filosofova"	1837
"http://dbpedia.org/resource/Anna_Maria_Mozzoni"	"Anna Maria Mozzoni"	1837
"http://dbpedia.org/resource/M._Adelle_Hazlett"	"M. Adelle Hazlett"	1837
"http://dbpedia.org/resource/Victoria_Woodhull"	"Victoria Woodhull"	1838
"http://dbpedia.org/resource/Evgenia_Konradi"	"Evgenia Konradi"	1838
"http://dbpedia.org/resource/Marianne_Hainisch"	"Marianne Hainisch"	1839
"http://dbpedia.org/resource/Matilde_Bajer"	"Matilde Bajer"	1840
"http://dbpedia.org/resource/Charlotte_Carmichael_Stopes"	"Charlotte Carmichael Stopes"	1840
"http://dbpedia.org/resource/August_Bebel"	"August Bebel"	1840
"http://dbpedia.org/resource/Marilla_Ricker"	"Marilla Ricker"	1840
"http://dbpedia.org/resource/Sophia_Jex-Blake"	"Sophia Jex-Blake"	1840
"http://dbpedia.org/resource/Pauline_Agassiz_Shaw"	"Pauline Agassiz Shaw"	1841
"http://dbpedia.org/resource/Eliza_Gamble"	"Eliza Gamble"	1841
"http://dbpedia.org/resource/Elise_Haighton"	"Elise Haighton"	1841
"http://dbpedia.org/resource/Eliska_Vincent"	"Eliska Vincent"	1841
"http://dbpedia.org/resource/Evelyn_Baring,_1st_Earl_of_Cromer"	"Evelyn Baring, 1st Earl of Cromer"	1841
"http://dbpedia.org/resource/Clara_Maniu"	"Clara Maniu"	1842
"http://dbpedia.org/resource/Ellen_Bergman"	"Ellen Bergman"	1842
"http://dbpedia.org/resource/Helen_Blackburn"	"Helen Blackburn"	1842
"http://dbpedia.org/resource/Maria_Konopnicka"	"Maria Konopnicka"	1842
"http://dbpedia.org/resource/Isala_Van_Diest"	"Isala Van Diest"	1842
"http://dbpedia.org/resource/Helen_M._Gougar"	"Helen M. Gougar"	1843
"http://dbpedia.org/resource/Nadezhda_Suslova"	"Nadezhda Suslova"	1843
"http://dbpedia.org/resource/Letitia_Stevenson"	"Letitia Stevenson"	1843
"http://dbpedia.org/resource/Louise_Jopling"	"Louise Jopling"	1843
"http://dbpedia.org/resource/Frances_Gillam_Holden"	"Frances Gillam Holden"	1843
"http://dbpedia.org/resource/May_Wright_Sewall"	"May Wright Sewall"	1844
"http://dbpedia.org/resource/Minna_Canth"	"Minna Canth"	1844
"http://dbpedia.org/resource/Alice_Vickery"	"Alice Vickery"	1844
"http://dbpedia.org/resource/Maria_Pognon"	"Maria Pognon"	1844
"http://dbpedia.org/resource/Charlotte_Despard"	"Charlotte Despard"	1844
"http://dbpedia.org/resource/Clara_Conway"	"Clara Conway"	1844
"http://dbpedia.org/resource/Augusta_Foote_Arnold"	"Augusta Foote Arnold"	1844
"http://dbpedia.org/resource/Harriet_Williams_Russell_Strong"	"Harriet Williams Russell Strong"	1844
"http://dbpedia.org/resource/Margaret_Sievwright"	"Margaret Sievwright"	1844
"http://dbpedia.org/resource/Mary_Cassatt"	"Mary Cassatt"	1844
"http://dbpedia.org/resource/Ragna_Nielsen"	"Ragna Nielsen"	1845
"http://dbpedia.org/resource/Maybanke_Anderson"	"Maybanke Anderson"	1845
"http://dbpedia.org/resource/Elihu_Root"	"Elihu Root"	1845
"http://dbpedia.org/resource/Gisèle_d'Estoc"	"Gisèle d'Estoc"	1845
"http://dbpedia.org/resource/Marie_Popelin"	"Marie Popelin"	1846
"http://dbpedia.org/resource/Anna_Kingsford"	"Anna Kingsford"	1846
"http://dbpedia.org/resource/Anna_Katharine_Green"	"Anna Katharine Green"	1846
"http://dbpedia.org/resource/Arabella_Mansfield"	"Arabella Mansfield"	1846
"http://dbpedia.org/resource/Jeanne_Schmahl"	"Jeanne Schmahl"	1846
"http://dbpedia.org/resource/Gina_Krog"	"Gina Krog"	1847
"http://dbpedia.org/resource/Anna_Howard_Shaw"	"Anna Howard Shaw"	1847
"http://dbpedia.org/resource/Charlotte_Jacobs"	"Charlotte Jacobs"	1847
"http://dbpedia.org/resource/Mietje_Hoitsema"	"Mietje Hoitsema"	1847
"http://dbpedia.org/resource/Millicent_Fawcett"	"Millicent Fawcett"	1847
"http://dbpedia.org/resource/Rose_Scott"	"Rose Scott"	1847
"http://dbpedia.org/resource/Annie_Besant"	"Annie Besant"	1847
"http://dbpedia.org/resource/Frances_Swiney"	"Frances Swiney"	1847
"http://dbpedia.org/resource/Bolesław_Prus"	"Bolesław Prus"	1847
"http://dbpedia.org/resource/Eliška_Krásnohorská"	"Eliška Krásnohorská"	1847
"http://dbpedia.org/resource/Hubertine_Auclert"	"Hubertine Auclert"	1848
"http://dbpedia.org/resource/Cornélie_Huygens"	"Cornélie Huygens"	1848
"http://dbpedia.org/resource/Louisa_Lawson"	"Louisa Lawson"	1848
"http://dbpedia.org/resource/Kate_Sheppard"	"Kate Sheppard"	1848
"http://dbpedia.org/resource/Princess_Louise,_Duchess_of_Argyll"	"Princess Louise, Duchess of Argyll"	1848
"http://dbpedia.org/resource/Emma_Paterson"	"Emma Paterson"	1848
