"fk_personne","nom","annee_nais","fk_uni","universite"
http://www.wikidata.org/entity/Q7038106,Nina Shea,1953,http://www.wikidata.org/entity/Q49204,Smith College
http://www.wikidata.org/entity/Q96575383,Clarence Mini,1951,http://www.wikidata.org/entity/Q1485112,Sofia Medical University
http://www.wikidata.org/entity/Q20739015,Dimitrana Ivanova,1881,http://www.wikidata.org/entity/Q841581,Sofia University
http://www.wikidata.org/entity/Q524949,Iván Cepeda Castro,1962,http://www.wikidata.org/entity/Q841581,Sofia University
http://www.wikidata.org/entity/Q66004385,Simeon Vasilev,1983,http://www.wikidata.org/entity/Q841581,Sofia University
http://www.wikidata.org/entity/Q23661772,Borislav Sandov,1982,http://www.wikidata.org/entity/Q841581,Sofia University
http://www.wikidata.org/entity/Q2823965,Adam Jones,1963,http://www.wikidata.org/entity/Q2065695,Solent University
http://www.wikidata.org/entity/Q333992,Eleanor Rathbone,1872,http://www.wikidata.org/entity/Q774489,Somerville College
http://www.wikidata.org/entity/Q450802,Vera Brittain,1893,http://www.wikidata.org/entity/Q774489,Somerville College
http://www.wikidata.org/entity/Q5362323,Elizabeth Anne Reid,1942,http://www.wikidata.org/entity/Q774489,Somerville College
http://www.wikidata.org/entity/Q2915288,Susan Moller Okin,1946,http://www.wikidata.org/entity/Q774489,Somerville College
http://www.wikidata.org/entity/Q64740402,Eddie Ndopu,1990,http://www.wikidata.org/entity/Q774489,Somerville College
http://www.wikidata.org/entity/Q5092713,Cheryl Chase,1956,http://www.wikidata.org/entity/Q624571,Sonoma State University
http://www.wikidata.org/entity/Q16920011,Kyungseok Park,1960,http://www.wikidata.org/entity/Q489331,Soongsil University
http://www.wikidata.org/entity/Q100276084,Priscilla Jana,1943,http://www.wikidata.org/entity/Q7562862,Sophia College for Women
http://www.wikidata.org/entity/Q242376,Fatema Mernissi,1940,http://www.wikidata.org/entity/Q214654,Sorbonne
http://www.wikidata.org/entity/Q7445322,Sediqeh Dowlatabadi,1882,http://www.wikidata.org/entity/Q214654,Sorbonne
http://www.wikidata.org/entity/Q19609535,Loujain al-Hathloul,1989,http://www.wikidata.org/entity/Q214654,Sorbonne
http://www.wikidata.org/entity/Q16231339,Hanna Jaff,1986,http://www.wikidata.org/entity/Q214654,Sorbonne
http://www.wikidata.org/entity/Q20807844,Marlène Schiappa,1982,http://www.wikidata.org/entity/Q571293,Sorbonne Nouvelle-Paris 3
http://www.wikidata.org/entity/Q100973294,Clémence Zamora-Cruz,1975,http://www.wikidata.org/entity/Q571293,Sorbonne Nouvelle-Paris 3
http://www.wikidata.org/entity/Q106782652,Jennifer Padjemi,1988,http://www.wikidata.org/entity/Q571293,Sorbonne Nouvelle-Paris 3
http://www.wikidata.org/entity/Q116983892,Ogarit Younan,1956,http://www.wikidata.org/entity/Q571293,Sorbonne Nouvelle-Paris 3
http://www.wikidata.org/entity/Q86914200,Assa Coulibaly,1933,http://www.wikidata.org/entity/Q41497113,Sorbonne University
http://www.wikidata.org/entity/Q191016,Fredrik Bajer,1837,http://www.wikidata.org/entity/Q649830,Sorø Academy
http://www.wikidata.org/entity/Q28450629,Doris Funnye Innis,1933,http://www.wikidata.org/entity/Q7566644,South Carolina State University
http://www.wikidata.org/entity/Q20687919,Q20687919,1982,http://www.wikidata.org/entity/Q7566809,South China Agricultural University
http://www.wikidata.org/entity/Q26699967,Janet Petra Bonnema,1938,http://www.wikidata.org/entity/Q7567459,South High School
http://www.wikidata.org/entity/Q5657879,Harish Iyer,1979,http://www.wikidata.org/entity/Q7567532,South Indian Education Society High School
http://www.wikidata.org/entity/Q6968062,Natalia Pelevine,1976,http://www.wikidata.org/entity/Q14993399,Southbank International School
http://www.wikidata.org/entity/Q5571314,Gloria Allred,1941,http://www.wikidata.org/entity/Q7571428,Southwestern Law School
http://www.wikidata.org/entity/Q7514169,Silas House,1971,http://www.wikidata.org/entity/Q7572993,Spalding University
http://www.wikidata.org/entity/Q215868,Alice Walker,1944,http://www.wikidata.org/entity/Q7575916,Spelman College
http://www.wikidata.org/entity/Q117468588,Siti Mirza Nuria Arifin,1953,http://www.wikidata.org/entity/Q4200297,Sriwijaya University
http://www.wikidata.org/entity/Q152824,Susan Sontag,1933,http://www.wikidata.org/entity/Q1819342,St Anne's College
http://www.wikidata.org/entity/Q22340175,Abena Busia,1953,http://www.wikidata.org/entity/Q1819342,St Anne's College
http://www.wikidata.org/entity/Q28921553,Mary Susan McIntosh,1936,http://www.wikidata.org/entity/Q1819342,St Anne's College
http://www.wikidata.org/entity/Q7683310,Tanimowo Ogunlesi,1908,http://www.wikidata.org/entity/Q104970149,"St Anne's School, Ibadan"
http://www.wikidata.org/entity/Q22340175,Abena Busia,1953,http://www.wikidata.org/entity/Q2035359,St Antony's College
http://www.wikidata.org/entity/Q23772336,Tom Malinowski,1965,http://www.wikidata.org/entity/Q2035359,St Antony's College
http://www.wikidata.org/entity/Q16091135,Larry Birns,1929,http://www.wikidata.org/entity/Q2706734,St Catherine's College
http://www.wikidata.org/entity/Q47490858,Robin Grove-White,1900,http://www.wikidata.org/entity/Q973884,St Edmund Hall
http://www.wikidata.org/entity/Q7462232,Shahriar Kabir,1950,http://www.wikidata.org/entity/Q7593300,St Gregory's School
http://www.wikidata.org/entity/Q514524,Tsuda Umeko,1864,http://www.wikidata.org/entity/Q1465651,St Hilda's College
http://www.wikidata.org/entity/Q16205127,"Ruth Hunt, Baroness Hunt of Bethnal Green",1980,http://www.wikidata.org/entity/Q1465651,St Hilda's College
http://www.wikidata.org/entity/Q36740,Aung San Suu Kyi,1945,http://www.wikidata.org/entity/Q128497,St Hugh's College
http://www.wikidata.org/entity/Q5623836,Gwyneth Bebb,1889,http://www.wikidata.org/entity/Q128497,St Hugh's College
http://www.wikidata.org/entity/Q16769592,Amal Clooney,1978,http://www.wikidata.org/entity/Q128497,St Hugh's College
http://www.wikidata.org/entity/Q75839706,Rhiana Gunn-Wright,1988,http://www.wikidata.org/entity/Q609646,St John's College
http://www.wikidata.org/entity/Q5181431,Craig Scott,1962,http://www.wikidata.org/entity/Q609646,St John's College
http://www.wikidata.org/entity/Q1360841,Salil Shetty,1961,http://www.wikidata.org/entity/Q7589124,"St Joseph's College, Bengaluru"
