item,itemLabel,occupation,occupationLabel
http://www.wikidata.org/entity/Q234572,Elizabeth Blackwell,http://www.wikidata.org/entity/Q11774202,essayist
http://www.wikidata.org/entity/Q234572,Elizabeth Blackwell,http://www.wikidata.org/entity/Q18533509,medical writer
http://www.wikidata.org/entity/Q234572,Elizabeth Blackwell,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q546568,Klára Leövey,http://www.wikidata.org/entity/Q974144,educator
http://www.wikidata.org/entity/Q546568,Klára Leövey,http://www.wikidata.org/entity/Q1930187,journalist
http://www.wikidata.org/entity/Q546568,Klára Leövey,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q62038982,Elizabeth Rowell Thompson,http://www.wikidata.org/entity/Q12362622,philanthropist
http://www.wikidata.org/entity/Q62038982,Elizabeth Rowell Thompson,http://www.wikidata.org/entity/Q15472169,patron of the arts
http://www.wikidata.org/entity/Q62038982,Elizabeth Rowell Thompson,http://www.wikidata.org/entity/Q27532437,suffragist
http://www.wikidata.org/entity/Q62038982,Elizabeth Rowell Thompson,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q62038982,Elizabeth Rowell Thompson,http://www.wikidata.org/entity/Q97621558,temperance worker
http://www.wikidata.org/entity/Q102870,Harriet Tubman,http://www.wikidata.org/entity/Q36180,writer
http://www.wikidata.org/entity/Q102870,Harriet Tubman,http://www.wikidata.org/entity/Q186360,nurse
http://www.wikidata.org/entity/Q102870,Harriet Tubman,http://www.wikidata.org/entity/Q1476215,human rights activist
http://www.wikidata.org/entity/Q102870,Harriet Tubman,http://www.wikidata.org/entity/Q9352089,spy
http://www.wikidata.org/entity/Q102870,Harriet Tubman,http://www.wikidata.org/entity/Q11499147,political activist
http://www.wikidata.org/entity/Q102870,Harriet Tubman,http://www.wikidata.org/entity/Q18510179,abolitionist
http://www.wikidata.org/entity/Q102870,Harriet Tubman,http://www.wikidata.org/entity/Q27532437,suffragist
http://www.wikidata.org/entity/Q102870,Harriet Tubman,http://www.wikidata.org/entity/Q34074720,feminist
http://www.wikidata.org/entity/Q466162,Frances Power Cobbe,http://www.wikidata.org/entity/Q36180,writer
http://www.wikidata.org/entity/Q466162,Frances Power Cobbe,http://www.wikidata.org/entity/Q322170,suffragette
http://www.wikidata.org/entity/Q466162,Frances Power Cobbe,http://www.wikidata.org/entity/Q1607826,editor
http://www.wikidata.org/entity/Q466162,Frances Power Cobbe,http://www.wikidata.org/entity/Q4964182,philosopher
http://www.wikidata.org/entity/Q466162,Frances Power Cobbe,http://www.wikidata.org/entity/Q12362622,philanthropist
http://www.wikidata.org/entity/Q466162,Frances Power Cobbe,http://www.wikidata.org/entity/Q27532437,suffragist
http://www.wikidata.org/entity/Q466162,Frances Power Cobbe,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q2192278,Elise van Calcar,http://www.wikidata.org/entity/Q36180,writer
http://www.wikidata.org/entity/Q2192278,Elise van Calcar,http://www.wikidata.org/entity/Q1607826,editor
http://www.wikidata.org/entity/Q2192278,Elise van Calcar,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q104666070,Nikoline Sundt,http://www.wikidata.org/entity/Q36180,writer
http://www.wikidata.org/entity/Q104666070,Nikoline Sundt,http://www.wikidata.org/entity/Q36180,writer
http://www.wikidata.org/entity/Q104666070,Nikoline Sundt,http://www.wikidata.org/entity/Q36180,writer
http://www.wikidata.org/entity/Q104666070,Nikoline Sundt,http://www.wikidata.org/entity/Q36180,writer
http://www.wikidata.org/entity/Q104666070,Nikoline Sundt,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q104666070,Nikoline Sundt,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q104666070,Nikoline Sundt,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q104666070,Nikoline Sundt,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q4953036,Caroline Healey Dall,http://www.wikidata.org/entity/Q36180,writer
http://www.wikidata.org/entity/Q4953036,Caroline Healey Dall,http://www.wikidata.org/entity/Q188094,economist
http://www.wikidata.org/entity/Q4953036,Caroline Healey Dall,http://www.wikidata.org/entity/Q201788,historian
http://www.wikidata.org/entity/Q4953036,Caroline Healey Dall,http://www.wikidata.org/entity/Q864380,biographer
http://www.wikidata.org/entity/Q4953036,Caroline Healey Dall,http://www.wikidata.org/entity/Q9379869,lecturer
http://www.wikidata.org/entity/Q4953036,Caroline Healey Dall,http://www.wikidata.org/entity/Q11774202,essayist
http://www.wikidata.org/entity/Q4953036,Caroline Healey Dall,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q15076218,Nadezhda Stasova,http://www.wikidata.org/entity/Q12362622,philanthropist
http://www.wikidata.org/entity/Q15076218,Nadezhda Stasova,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q15076218,Nadezhda Stasova,http://www.wikidata.org/entity/Q34074720,feminist
http://www.wikidata.org/entity/Q4964291,Line Luplau,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q7421664,Sara Jane Lippincott,http://www.wikidata.org/entity/Q36180,writer
http://www.wikidata.org/entity/Q7421664,Sara Jane Lippincott,http://www.wikidata.org/entity/Q49757,poet
http://www.wikidata.org/entity/Q7421664,Sara Jane Lippincott,http://www.wikidata.org/entity/Q876864,editing staff
http://www.wikidata.org/entity/Q7421664,Sara Jane Lippincott,http://www.wikidata.org/entity/Q1569495,lecturer
http://www.wikidata.org/entity/Q7421664,Sara Jane Lippincott,http://www.wikidata.org/entity/Q1930187,journalist
http://www.wikidata.org/entity/Q7421664,Sara Jane Lippincott,http://www.wikidata.org/entity/Q4853732,children's writer
http://www.wikidata.org/entity/Q7421664,Sara Jane Lippincott,http://www.wikidata.org/entity/Q28692502,women's rights activist
http://www.wikidata.org/entity/Q4346827,Sophie Adlersparre,http://www.wikidata.org/entity/Q17351648,newspaper editor
