"annee_naissance","fk_lieu","lieu_naissance","geo_coord"
1839,http://www.wikidata.org/entity/Q42168,Clermont-Ferrand,Point(3.086944444 45.779722222)
1840,http://www.wikidata.org/entity/Q15682,Cádiz,Point(-6.2975 36.535)
1840,http://www.wikidata.org/entity/Q207196,Zlatna,Point(23.221111111 46.158888888)
1840,http://www.wikidata.org/entity/Q474605,Rochdale,Point(-2.161 53.6136)
1840,http://www.wikidata.org/entity/Q21178,Næstved,Point(11.76666667 55.23333333)
1840,http://www.wikidata.org/entity/Q3992,Liège,Point(5.570555555 50.639722222)
1840,http://www.wikidata.org/entity/Q23436,Edinburgh,Point(-3.189166666 55.953333333)
1840,http://www.wikidata.org/entity/Q1524,Athens,Point(23.728055555 37.984166666)
1840,http://www.wikidata.org/entity/Q3104,Koblenz,Point(7.597777777 50.359722222)
1840,http://www.wikidata.org/entity/Q856309,Kanjiža,Point(20.05 46.066666666)
1840,http://www.wikidata.org/entity/Q25732,Örebro,Point(15.196522467 59.266926001)
1841,http://www.wikidata.org/entity/Q688539,Rapperswil,Point(8.82228 47.22557)
1841,http://www.wikidata.org/entity/Q10716051,Visby parish,Point(18.2975 57.641666666)
1841,http://www.wikidata.org/entity/Q2119,Mannheim,Point(8.466111111 49.487777777)
1841,http://www.wikidata.org/entity/Q135572,Yegoryevsk,Point(39.016666666 55.366666666)
1841,http://www.wikidata.org/entity/Q922714,Neufmanil,Point(4.795277777 49.810277777)
1841,http://www.wikidata.org/entity/Q506745,Rijswijk,Point(4.33 52.045555555)
1841,http://www.wikidata.org/entity/Q727,Amsterdam,Point(4.893611111 52.372777777)
1841,http://www.wikidata.org/entity/Q1638504,Llanberis,Point(-4.128611111 53.120833333)
1841,http://www.wikidata.org/entity/Q428144,Mézières-en-Drouais,Point(1.425277777 48.723888888)
1841,http://www.wikidata.org/entity/Q3465196,Rõusa,Point(25.115833333 58.673888888)
1841,http://www.wikidata.org/entity/Q36600,The Hague,Point(4.31 52.08)
1841,http://www.wikidata.org/entity/Q239,City of Brussels,Point(4.351666666 50.846666666)
1841,http://www.wikidata.org/entity/Q159572,Wittstock/Dosse,Point(12.485617 53.163294)
1841,http://www.wikidata.org/entity/Q1455989,Freyenstein,Point(12.3539 53.2872)
1842,http://www.wikidata.org/entity/Q135572,Yegoryevsk,Point(39.016666666 55.366666666)
