"generations","lieu_naissance","geo_coord","effectif"
"1851-1875",Ketandan,Point(110.640833333 -7.695277777),1
"1851-1875",Street,Point(-2.7381 51.1235),1
"1851-1875",Islington,Point(-0.1027 51.544),1
"1851-1875",Plaškiai,Point(21.722 55.183),1
"1851-1875",Vantaa,Point(25.040277777 60.294444444),1
"1851-1875",Antwerp,Point(4.399722222 51.221111111),2
"1851-1875",Wojczyce,Point(16.688125 51.139694444),1
"1851-1875",Ghent,Point(3.725277777 51.053611111),1
"1851-1875",Arnhem,Point(5.916666666 51.983333333),2
"1851-1875",Brighton,Point(-0.1375 50.820833333),1
"1851-1875",Shkodër,Point(19.5 42.066666666),1
"1851-1875",Willemstad,Point(-68.935 12.108),1
"1851-1875",Graz,Point(15.438611111 47.070833333),2
"1851-1875",Dunedin,Point(170.503611111 -45.874166666),1
"1851-1875",Montevideo,Point(-56.166666666 -34.866666666),1
"1851-1875",Ravenna,Point(12.201666666 44.416111111),1
"1851-1875",Barmen,Point(7.19167 51.2694),1
"1851-1875",New Jersey,Point(-74.5 40.0),1
"1851-1875",Saint-Hyacinthe,Point(-72.95 45.616666666),1
"1851-1875",Liberec,Point(15.05 50.766666666),1
"1851-1875",Vyborg,Point(28.749722222 60.710555555),1
"1851-1875",Sidcup,Point(0.1024 51.4263),1
"1851-1875",Weißenfels,Point(11.966666666 51.2),1
"1851-1875",Buenos Aires,Point(-58.381944444 -34.599722222),2
"1851-1875",Barcelona,Point(2.176944444 41.3825),3
"1851-1875",Mimoň,Point(14.724839569 50.658755425),1
"1851-1875",Mississippi,Point(-90.0 33.0),1
"1851-1875",Brno,Point(16.608333333 49.195277777),1
"1851-1875",Province of Cuneo,Point(7.55 44.383333333),1
"1851-1875",Drammen,Point(10.20449 59.74389),1
"1851-1875",Athens,Point(23.728055555 37.984166666),1
"1851-1875",Großjedlersdorf,Point(16.4089 48.2789),1
"1851-1875",Grabow bei Blumenthal,Point(12.398147 53.076002),1
