item,itemLabel,occupationLabel
http://www.wikidata.org/entity/Q231690,Bhimrao Ramji Ambedkar,women's rights activist
http://www.wikidata.org/entity/Q231690,Bhimrao Ramji Ambedkar,freedom fighter
http://www.wikidata.org/entity/Q231690,Bhimrao Ramji Ambedkar,educational theorist
http://www.wikidata.org/entity/Q231690,Bhimrao Ramji Ambedkar,spiritual leader
http://www.wikidata.org/entity/Q231690,Bhimrao Ramji Ambedkar,constitutionalist
http://www.wikidata.org/entity/Q5297930,Doris Fleischman,journalist
http://www.wikidata.org/entity/Q5297930,Doris Fleischman,essayist
http://www.wikidata.org/entity/Q5297930,Doris Fleischman,women's rights activist
http://www.wikidata.org/entity/Q94751656,Marguerite Nobs,women's rights activist
http://www.wikidata.org/entity/Q78782458,Jeanne Kesseler,teacher
http://www.wikidata.org/entity/Q78782458,Jeanne Kesseler,women's rights activist
http://www.wikidata.org/entity/Q1243468,Marie Delcourt,historian of classical antiquity
http://www.wikidata.org/entity/Q1243468,Marie Delcourt,women's rights activist
http://www.wikidata.org/entity/Q5367496,Else Mayer,nun
http://www.wikidata.org/entity/Q5367496,Else Mayer,women's rights activist
http://www.wikidata.org/entity/Q15020985,Jeanne Beeckman,physician
http://www.wikidata.org/entity/Q15020985,Jeanne Beeckman,politician
http://www.wikidata.org/entity/Q15020985,Jeanne Beeckman,women's rights activist
http://www.wikidata.org/entity/Q45901113,Eva Kotchever,writer
http://www.wikidata.org/entity/Q45901113,Eva Kotchever,bookseller
http://www.wikidata.org/entity/Q45901113,Eva Kotchever,restaurateur
http://www.wikidata.org/entity/Q45901113,Eva Kotchever,women's rights activist
http://www.wikidata.org/entity/Q55860711,Eva Schäffer,women's rights activist
http://www.wikidata.org/entity/Q20859202,Liesbeth Ribbius Peletier,politician
http://www.wikidata.org/entity/Q20859202,Liesbeth Ribbius Peletier,women's rights activist
http://www.wikidata.org/entity/Q21537423,Erna Laura Keighley,women's rights activist
http://www.wikidata.org/entity/Q26625959,Anna Forbes Liddell,academic
http://www.wikidata.org/entity/Q26625959,Anna Forbes Liddell,suffragist
http://www.wikidata.org/entity/Q26625959,Anna Forbes Liddell,women's rights activist
http://www.wikidata.org/entity/Q1687037,Jenny Humbert-Droz,writer
http://www.wikidata.org/entity/Q1687037,Jenny Humbert-Droz,politician
http://www.wikidata.org/entity/Q1687037,Jenny Humbert-Droz,journalist
http://www.wikidata.org/entity/Q1687037,Jenny Humbert-Droz,activist
http://www.wikidata.org/entity/Q1687037,Jenny Humbert-Droz,women's rights activist
http://www.wikidata.org/entity/Q3073969,Florence Fernet-Martel,women's rights activist
http://www.wikidata.org/entity/Q3176032,Jeanne Driessen,politician
http://www.wikidata.org/entity/Q3176032,Jeanne Driessen,women's rights activist
http://www.wikidata.org/entity/Q63183192,Beatriz Arnut,writer
http://www.wikidata.org/entity/Q63183192,Beatriz Arnut,poet
http://www.wikidata.org/entity/Q63183192,Beatriz Arnut,publicist
http://www.wikidata.org/entity/Q63183192,Beatriz Arnut,women's rights activist
http://www.wikidata.org/entity/Q3037079,Doris Stevens,teacher
http://www.wikidata.org/entity/Q3037079,Doris Stevens,sociologist
http://www.wikidata.org/entity/Q3037079,Doris Stevens,social worker
http://www.wikidata.org/entity/Q3037079,Doris Stevens,suffragist
http://www.wikidata.org/entity/Q3037079,Doris Stevens,women's rights activist
http://www.wikidata.org/entity/Q3037079,Doris Stevens,feminist
http://www.wikidata.org/entity/Q373455,Isabelle Blume,teacher
http://www.wikidata.org/entity/Q373455,Isabelle Blume,politician
http://www.wikidata.org/entity/Q373455,Isabelle Blume,women's rights activist
http://www.wikidata.org/entity/Q394649,Agnes Smedley,writer
http://www.wikidata.org/entity/Q394649,Agnes Smedley,journalist
http://www.wikidata.org/entity/Q394649,Agnes Smedley,women's rights activist
http://www.wikidata.org/entity/Q4934286,Anna Caspari Agerholt,teacher
http://www.wikidata.org/entity/Q4934286,Anna Caspari Agerholt,author
http://www.wikidata.org/entity/Q4934286,Anna Caspari Agerholt,women's rights activist
http://www.wikidata.org/entity/Q7513123,Sigrid Helliesen Lund,women's rights activist
http://www.wikidata.org/entity/Q11781202,Milena Rudnytska,writer
http://www.wikidata.org/entity/Q11781202,Milena Rudnytska,politician
http://www.wikidata.org/entity/Q11781202,Milena Rudnytska,journalist
http://www.wikidata.org/entity/Q11781202,Milena Rudnytska,women's rights activist
http://www.wikidata.org/entity/Q11932294,Llibertat Ròdenas,anarchist
http://www.wikidata.org/entity/Q11932294,Llibertat Ròdenas,trade unionist
http://www.wikidata.org/entity/Q11932294,Llibertat Ròdenas,anarcho-syndicalist
http://www.wikidata.org/entity/Q11932294,Llibertat Ròdenas,women's rights activist
http://www.wikidata.org/entity/Q105275977,Elsa Svartengren,journalist
http://www.wikidata.org/entity/Q105275977,Elsa Svartengren,women's rights activist
http://www.wikidata.org/entity/Q12880725,Maria Svolou,politician
http://www.wikidata.org/entity/Q12880725,Maria Svolou,women's rights activist
http://www.wikidata.org/entity/Q107302604,Juana Julia Guzmán,activist
http://www.wikidata.org/entity/Q107302604,Juana Julia Guzmán,trade unionist
http://www.wikidata.org/entity/Q107302604,Juana Julia Guzmán,women's rights activist
http://www.wikidata.org/entity/Q63485517,Andrée Lehmann,lawyer
http://www.wikidata.org/entity/Q63485517,Andrée Lehmann,women's rights activist
http://www.wikidata.org/entity/Q63683426,Felicia Santizo,politician
http://www.wikidata.org/entity/Q63683426,Felicia Santizo,educator
http://www.wikidata.org/entity/Q63683426,Felicia Santizo,women's rights activist
http://www.wikidata.org/entity/Q450802,Vera Brittain,writer
http://www.wikidata.org/entity/Q450802,Vera Brittain,poet
http://www.wikidata.org/entity/Q450802,Vera Brittain,nurse
http://www.wikidata.org/entity/Q450802,Vera Brittain,journalist
http://www.wikidata.org/entity/Q450802,Vera Brittain,novelist
http://www.wikidata.org/entity/Q450802,Vera Brittain,pacifist
http://www.wikidata.org/entity/Q450802,Vera Brittain,peace activist
http://www.wikidata.org/entity/Q450802,Vera Brittain,suffragist
http://www.wikidata.org/entity/Q450802,Vera Brittain,women's rights activist
http://www.wikidata.org/entity/Q3181404,Marie Anne Tellegen,resistance fighter
http://www.wikidata.org/entity/Q3181404,Marie Anne Tellegen,editor
http://www.wikidata.org/entity/Q3181404,Marie Anne Tellegen,women's rights activist
http://www.wikidata.org/entity/Q28356957,Kerttu Sihvonen,head teacher
http://www.wikidata.org/entity/Q28356957,Kerttu Sihvonen,women's rights activist
http://www.wikidata.org/entity/Q115563396,Katharina Zinnicken,politician
http://www.wikidata.org/entity/Q115563396,Katharina Zinnicken,head teacher
http://www.wikidata.org/entity/Q115563396,Katharina Zinnicken,women's rights activist
http://www.wikidata.org/entity/Q5298378,Dorothy Detzer,writer
http://www.wikidata.org/entity/Q5298378,Dorothy Detzer,peace activist
http://www.wikidata.org/entity/Q5298378,Dorothy Detzer,women's rights activist
http://www.wikidata.org/entity/Q123987466,Asta Brügelmann,activist
http://www.wikidata.org/entity/Q123987466,Asta Brügelmann,women's rights activist
http://www.wikidata.org/entity/Q11091484,Zeng Baosun,teacher
http://www.wikidata.org/entity/Q11091484,Zeng Baosun,politician
http://www.wikidata.org/entity/Q11091484,Zeng Baosun,historian
http://www.wikidata.org/entity/Q11091484,Zeng Baosun,essayist
http://www.wikidata.org/entity/Q11091484,Zeng Baosun,women's rights activist
http://www.wikidata.org/entity/Q15407080,Marcelle Capy,journalist
http://www.wikidata.org/entity/Q15407080,Marcelle Capy,anarchist
http://www.wikidata.org/entity/Q15407080,Marcelle Capy,trade unionist
http://www.wikidata.org/entity/Q15407080,Marcelle Capy,peace activist
http://www.wikidata.org/entity/Q15407080,Marcelle Capy,women's rights activist
