item,itemLabel,year
http://www.wikidata.org/entity/Q526994,Mathilde Blind,1841
http://www.wikidata.org/entity/Q543970,Lilli Suburg,1841
http://www.wikidata.org/entity/Q75202,Minna Cauer,1841
http://www.wikidata.org/entity/Q451495,Elfrida Andrée,1841
http://www.wikidata.org/entity/Q1812225,Anna van Hogendorp,1841
http://www.wikidata.org/entity/Q3132460,Henriette Dachsbeck,1841
http://www.wikidata.org/entity/Q29293006,Aleksandra Nikolajewna Jakobi,1841
http://www.wikidata.org/entity/Q14100643,Piet Meuleman,1841
http://www.wikidata.org/entity/Q16058886,Eliska Vincent,1841
http://www.wikidata.org/entity/Q16663053,Marie Catherine Rogissart,1841
http://www.wikidata.org/entity/Q18756630,Clara Pater,1841
http://www.wikidata.org/entity/Q19059778,Elise Haighton,1841
http://www.wikidata.org/entity/Q21070127,Alwina Gossauer,1841
http://www.wikidata.org/entity/Q463046,Phoebe Hearst,1842
http://www.wikidata.org/entity/Q119262,Caroline Farner,1842
http://www.wikidata.org/entity/Q2551409,Isala Van Diest,1842
http://www.wikidata.org/entity/Q66124267,Mariana Osório de Castro,1842
http://www.wikidata.org/entity/Q29293006,Aleksandra Nikolajewna Jakobi,1842
http://www.wikidata.org/entity/Q4953287,Rosina Heikel,1842
http://www.wikidata.org/entity/Q97038384,Aikaterini Laskaridou,1842
http://www.wikidata.org/entity/Q121363651,Marie Auspitz,1842
http://www.wikidata.org/entity/Q18819413,Eliza Sturge,1842
http://www.wikidata.org/entity/Q78144591,Linda Slaughter,1843
http://www.wikidata.org/entity/Q56248379,Frances Murray,1843
http://www.wikidata.org/entity/Q18353451,Emilie de Morsier,1843
http://www.wikidata.org/entity/Q19059740,Hendrina Commelin,1843
http://www.wikidata.org/entity/Q99662674,Camilla Vedøe,1843
http://www.wikidata.org/entity/Q51775,Harriet Williams Russell Strong,1844
http://www.wikidata.org/entity/Q3292687,Marie Maugeret,1844
http://www.wikidata.org/entity/Q5408602,Eugénie Potonié-Pierre,1844
http://www.wikidata.org/entity/Q94752297,Marie von Leyden,1844
http://www.wikidata.org/entity/Q10327831,May Wright Sewall,1844
http://www.wikidata.org/entity/Q11860057,Fredrika Wetterhoff,1844
http://www.wikidata.org/entity/Q60644803,Johanne Münter,1844
http://www.wikidata.org/entity/Q21294794,Maria Pognon,1844
http://www.wikidata.org/entity/Q543726,Mercedes Cabello,1845
http://www.wikidata.org/entity/Q2522770,Louise Frederike Wijnaendts,1845
http://www.wikidata.org/entity/Q1515768,Gertrude Guillaume-Schack,1845
http://www.wikidata.org/entity/Q1670063,Maria Glocker,1845
http://www.wikidata.org/entity/Q30302781,Gisèle d'Estoc,1845
http://www.wikidata.org/entity/Q34538025,Jessie Turnbull,1845
http://www.wikidata.org/entity/Q4948816,Kirstine Frederiksen,1845
http://www.wikidata.org/entity/Q4957496,Erna Juel-Hansen,1845
http://www.wikidata.org/entity/Q94998065,Anna Schneider,1845
http://www.wikidata.org/entity/Q6077680,Isabel Le Brun,1845
http://www.wikidata.org/entity/Q62079539,Anna Laursen,1845
http://www.wikidata.org/entity/Q62080580,Jaquette Liljencrantz,1845
http://www.wikidata.org/entity/Q98284587,Ida Baumann,1845
http://www.wikidata.org/entity/Q291676,Amalie Skram,1846
http://www.wikidata.org/entity/Q2627259,Marie Popelin,1846
http://www.wikidata.org/entity/Q1668858,Marian Farquharson,1846
http://www.wikidata.org/entity/Q27862845,Emma Coradi-Stahl,1846
http://www.wikidata.org/entity/Q42562581,Élisabeth Renaud,1846
http://www.wikidata.org/entity/Q6004729,Trinidad María Enríquez,1846
http://www.wikidata.org/entity/Q110322640,Sofia Rein,1846
http://www.wikidata.org/entity/Q19660748,Jeanne Schmahl,1846
http://www.wikidata.org/entity/Q21536193,Lauretta Caroline Maria Luffman,1846
http://www.wikidata.org/entity/Q22247981,Marie-Rose Astié de Valsayre,1846
http://www.wikidata.org/entity/Q464318,Annie Besant,1847
