occupation,occupationLabel,occupationDescription
http://www.wikidata.org/entity/Q1162163,director,person who leads a particular area of a company or organization
http://www.wikidata.org/entity/Q599151,official,someone who holds a government office
http://www.wikidata.org/entity/Q23833535,French Resistance fighter,member of the French resistance in WWII
http://www.wikidata.org/entity/Q1900657,marketer,profession of soliciting customers
http://www.wikidata.org/entity/Q6545506,lifestyle guru,person offering advice on personal development
http://www.wikidata.org/entity/Q70591255,digital strategist,profession
http://www.wikidata.org/entity/Q13582652,civil engineer,"engineer specialising in design, construction and maintenance of the built environment"
http://www.wikidata.org/entity/Q254651,navigator,"crew position responsible for navigation of an aircraft, spacecraft or vessel"
http://www.wikidata.org/entity/Q47518464,cyberfeminist,
http://www.wikidata.org/entity/Q6934789,multimedia artist,artist working with different media
http://www.wikidata.org/entity/Q47064,military personnel,people who serve in an organized armed military force
http://www.wikidata.org/entity/Q1483433,laboratory technician,profession
http://www.wikidata.org/entity/Q12013238,ophthalmologist,physician who practices ophthalmology
http://www.wikidata.org/entity/Q4110598,video blogger,type of blogger; person who makes webcast videos
http://www.wikidata.org/entity/Q2576499,nutritionist,person who advises on matters of food and nutrition impacts on health
http://www.wikidata.org/entity/Q4164507,art critic,person who specializes in evaluating art
http://www.wikidata.org/entity/Q18216771,video artist,person who creates video art
http://www.wikidata.org/entity/Q7541856,ceramicist,practitioner of ceramic arts
http://www.wikidata.org/entity/Q19509237,animal rights advocate,
http://www.wikidata.org/entity/Q212238,civil servant,person employed by a government department or agency
http://www.wikidata.org/entity/Q24256017,chairman of the Social Democratic Party,party leader in Austria
http://www.wikidata.org/entity/Q102252389,fourierist,
http://www.wikidata.org/entity/Q27349,dentist,healthcare occupation
http://www.wikidata.org/entity/Q10497074,aerospace engineer,engineering profession
http://www.wikidata.org/entity/Q674426,curator,content specialist charged with a museum's collections and involved with the interpretation of heritage material
http://www.wikidata.org/entity/Q3387717,theatrical director,person overseeing the mounting of a theatre production
http://www.wikidata.org/entity/Q589298,editor-in-chief,publication's editorial leader
http://www.wikidata.org/entity/Q446966,conservator,professional responsible for the preservation of artistic and cultural artifacts
http://www.wikidata.org/entity/Q3140857,horticulturist,"person who works and conducts research in the science and art of growing flowers, fruits, vegetables or ornamental plants"
http://www.wikidata.org/entity/Q1900167,psychotherapist,person who practices psychotherapy
http://www.wikidata.org/entity/Q175151,printer,person involved in manufacturing printed materials; operator of a printing press
http://www.wikidata.org/entity/Q350979,zoologist,someone who studies or practices zoology
http://www.wikidata.org/entity/Q16271064,herpetologist,person studying reptiles or amphibians
http://www.wikidata.org/entity/Q250867,Catholic priest,priest of the Catholic Church
http://www.wikidata.org/entity/Q1454904,voluntary service,institutionalized form of volunteering with limited time for a non-profit cause
http://www.wikidata.org/entity/Q12718544,socialist,supporter of socialism
http://www.wikidata.org/entity/Q217105,political prisoner,someone imprisoned because they have opposed or criticized the government responsible for their imprisonment
http://www.wikidata.org/entity/Q2251335,school teacher,teacher in primary and secondary education
http://www.wikidata.org/entity/Q11741603,People's Commissar,political office-holder which is ecquivalent with the position of the government ministers or secretaries
http://www.wikidata.org/entity/Q5669609,grocer,seller of food
http://www.wikidata.org/entity/Q876864,editing staff,employee who takes on editorial tasks within the media
http://www.wikidata.org/entity/Q12327321,ministerial secretary,
http://www.wikidata.org/entity/Q27431213,cookbook writer,editor who publishes collections of recipes
http://www.wikidata.org/entity/Q29167936,factory inspector,official who checks that factories meet health and safety regulations
http://www.wikidata.org/entity/Q80687,secretary,office occupation
http://www.wikidata.org/entity/Q11995943,Q11995943,
http://www.wikidata.org/entity/Q1056391,head teacher,most senior teacher at a school
http://www.wikidata.org/entity/Q2534525,chairman of the executive board,person in charge of an organization or business
http://www.wikidata.org/entity/Q1251441,leader,someone with the authority to affect the conduct of others; who have the responsibility of leading
http://www.wikidata.org/entity/Q30461,president,"leader of a country or part of a country, usually in republics"
http://www.wikidata.org/entity/Q3029421,publication manager,
http://www.wikidata.org/entity/Q2114605,pharmacologist,"person who studies the manner in which drugs and medications interact with organisms, living systems, and their parts (i.e. cells, tissues, or organs)"
http://www.wikidata.org/entity/Q18581305,beauty pageant contestant,participant in a beauty contest
http://www.wikidata.org/entity/Q17337766,theatre critic,person who writes reviews about theatre performances
http://www.wikidata.org/entity/Q15839134,ecologist,person who works in the scientific field of ecology
http://www.wikidata.org/entity/Q181043,dissident,"person who actively challenges an established doctrine, policy, or institution"
http://www.wikidata.org/entity/Q28721657,Q28721657,
http://www.wikidata.org/entity/Q28948007,Q28948007,
http://www.wikidata.org/entity/Q242468,tailor,"person who makes, repairs, or alters clothing professionally"
http://www.wikidata.org/entity/Q656823,in-home tutor,educator at home
http://www.wikidata.org/entity/Q1662561,paleontologist,scientist specialising in paleontology
http://www.wikidata.org/entity/Q15958754,broadcaster,person working in broadcasting
http://www.wikidata.org/entity/Q1227197,social pedagogue,profession
http://www.wikidata.org/entity/Q125482,imam,Islamic leadership position
http://www.wikidata.org/entity/Q1662050,industrial management assistant,commercial apprenticeship
http://www.wikidata.org/entity/Q17221,spokesperson,someone engaged or elected to speak on behalf of others
http://www.wikidata.org/entity/Q10694573,textile artist,"person who creates art objects using plant, animal, or synthetic fibers"
http://www.wikidata.org/entity/Q30341438,quiltmaker,artisan who makes quilts
http://www.wikidata.org/entity/Q4220892,film critic,journalist who is dealing with films
http://www.wikidata.org/entity/Q11085831,interpreter,person who works with translating and communicating oral texts in different languages
http://www.wikidata.org/entity/Q60233168,political historian,person who is engaged in political history
http://www.wikidata.org/entity/Q1294787,artisan,skilled craft worker who makes or creates things by hand
http://www.wikidata.org/entity/Q4178004,publicist,"person who manages publicity for a public figure, a business or a work"
http://www.wikidata.org/entity/Q15936497,Africanist,profession; specialist in African studies
http://www.wikidata.org/entity/Q26759595,communication scholar,occupation
http://www.wikidata.org/entity/Q13235160,manufacturer,individual or organization that creates goods
http://www.wikidata.org/entity/Q19827218,ultramarathon runner,long distance runner competing in races longer than 42.195 km
http://www.wikidata.org/entity/Q267936,executive director,"chief executive officer (CEO) or managing director of an organization, company, or corporation, who serves as a board member"
http://www.wikidata.org/entity/Q59913751,urban theorist,profession; social scientist specialized in urbanism
http://www.wikidata.org/entity/Q10355417,advertising person,person concerned with the creation of advertisments
http://www.wikidata.org/entity/Q26973007,professor of philosophy,teacher of philosophy at a university or college
http://www.wikidata.org/entity/Q3264451,cardiologist,physician who specializes in cardiology
http://www.wikidata.org/entity/Q2135469,legal counselor,legal professional providing legal advice
http://www.wikidata.org/entity/Q131524,entrepreneur,"business legal entity which organizes and operates an enterprise, in order to conduct economic activity"
http://www.wikidata.org/entity/Q1266283,senior lecturer,academic rank
http://www.wikidata.org/entity/Q1125292,postdoctoral researcher,person professionally conducting research after the completion of their doctoral studies
http://www.wikidata.org/entity/Q16314501,encyclopedist,writer or compiler of encyclopedias
http://www.wikidata.org/entity/Q21993562,cultural activist,occupation
http://www.wikidata.org/entity/Q828395,social policy,measures by governments or institutions which aim to improve or reform society
http://www.wikidata.org/entity/Q2297554,history of feminism,chronological narrative of the movements and ideologies aimed at equal rights for women
http://www.wikidata.org/entity/Q15472169,patron of the arts,person who engages in patronage
http://www.wikidata.org/entity/Q806798,banker,person who manages or owns a bank
http://www.wikidata.org/entity/Q56224063,bookkeeper,profession; person who records the accounts or transactions of a business
http://www.wikidata.org/entity/Q67205775,seamstress,person employed to sew
http://www.wikidata.org/entity/Q2640827,gynaecologist,physician who specialized in gynecology
http://www.wikidata.org/entity/Q356139,proofreader,profession
http://www.wikidata.org/entity/Q47492833,civil libertarian,
http://www.wikidata.org/entity/Q11079476,digital artist,artist who works in the digital medium
http://www.wikidata.org/entity/Q1414443,filmmaker,creator of a cinematic work
http://www.wikidata.org/entity/Q53834886,woman human rights defenders,woman who defends human rights or people who defend women's rights
http://www.wikidata.org/entity/Q3406834,school teacher,primary school teacher in France
http://www.wikidata.org/entity/Q16063546,historian of science,humanist who is engaged in history of science
http://www.wikidata.org/entity/Q736415,conferencier,host of a cabaret or variety show who introduces acts and entertains between them
http://www.wikidata.org/entity/Q37987929,plant ecologist,scientist specializing in the ecology of plants
http://www.wikidata.org/entity/Q1650915,researcher,"person who engages in research, professionally or otherwise. If a more specific occupation is known, use that instead"
http://www.wikidata.org/entity/Q15982858,motivational speaker,speaker intended to motivate the audience
http://www.wikidata.org/entity/Q66288471,trans activist,person who advocates for the rights of transgender people
http://www.wikidata.org/entity/Q99761949,anti-racist,person who opposes racism
http://www.wikidata.org/entity/Q703534,employee,person who works for an employer
http://www.wikidata.org/entity/Q28528560,communist,person who believes that communism can be accomplished
http://www.wikidata.org/entity/Q1459149,schoolmaster,male school teacher
http://www.wikidata.org/entity/Q50940853,school director,the administrative head of a school
http://www.wikidata.org/entity/Q2024200,telegraphist,operator who uses a telegraph key to send and receive the Morse code
http://www.wikidata.org/entity/Q388338,treasurer,person responsible for running the treasury of an organization
http://www.wikidata.org/entity/Q51167455,female supporter of women's right to vote,
