item,itemLabel,year,lieunaissance,lieunaissanceLabel,coordinates
http://www.wikidata.org/entity/Q95456722,Anna Veronika Mikšíčková,1829,http://www.wikidata.org/entity/Q14960,Brno,Point(16.608333333 49.195277777)
http://www.wikidata.org/entity/Q4896496,Bessie Rayner Parkes,1829,http://www.wikidata.org/entity/Q2256,Birmingham,Point(-1.9025 52.48)
http://www.wikidata.org/entity/Q2748528,Emily Davies,1830,http://www.wikidata.org/entity/Q79848,Southampton,Point(-1.404444444 50.906666666)
http://www.wikidata.org/entity/Q107082,Mary Harris Jones,1830,http://www.wikidata.org/entity/Q36647,Cork,Point(-8.473055555 51.9)
http://www.wikidata.org/entity/Q65164698,Socorro Sánchez del Rosario,1830,http://www.wikidata.org/entity/Q34820,Santo Domingo,Point(-69.893333333 18.476388888)
http://www.wikidata.org/entity/Q24242263,Harriet Jemima Winifred Clisby,1830,http://www.wikidata.org/entity/Q84,London,Point(-0.1275 51.507222222)
http://www.wikidata.org/entity/Q41338497,Gerharda Matthijssen,1830,http://www.wikidata.org/entity/Q25390,Leeuwarden,Point(5.783333333 53.2)
http://www.wikidata.org/entity/Q66502,Lina Morgenstern,1830,http://www.wikidata.org/entity/Q1799,Wrocław,Point(17.0325 51.11)
http://www.wikidata.org/entity/Q55907398,Sidonie Kohen,1830,http://www.wikidata.org/entity/Q321197,Cieszyn,Point(18.633333333 49.75)
http://www.wikidata.org/entity/Q38786,Mathilde Fibiger,1830,http://www.wikidata.org/entity/Q1748,Copenhagen,Point(12.568888888 55.676111111)
http://www.wikidata.org/entity/Q19756134,Henriette Frederica Bosscha,1831,http://www.wikidata.org/entity/Q10001,Deventer,Point(6.2 52.25)
http://www.wikidata.org/entity/Q28922613,Anna Houry,1831,http://www.wikidata.org/entity/Q456,Lyon,Point(4.841388888 45.758888888)
http://www.wikidata.org/entity/Q2941781,Catharina van Rees,1831,http://www.wikidata.org/entity/Q109535,Zutphen,Point(6.195 52.14)
http://www.wikidata.org/entity/Q71491,Hedwig Dohm,1831,http://www.wikidata.org/entity/Q64,Berlin,Point(13.383333333 52.516666666)
http://www.wikidata.org/entity/Q88211310,Marie Mineur,1831,http://www.wikidata.org/entity/Q202954,Verviers,Point(5.85 50.583333333)
http://www.wikidata.org/entity/Q18721964,Isa Knox,1831,http://www.wikidata.org/entity/Q23436,Edinburgh,Point(-3.189166666 55.953333333)
http://www.wikidata.org/entity/Q8201100,Antonia Tarragó,1832,http://www.wikidata.org/entity/Q298,Chile,Point(-71.0 -33.0)
http://www.wikidata.org/entity/Q113489143,Ida Schmidt-Zabierow,1832,http://www.wikidata.org/entity/Q3806,Tübingen,Point(9.055555555 48.52)
http://www.wikidata.org/entity/Q4750322,Ana Betancourt,1832,http://www.wikidata.org/entity/Q115329,Camagüey,Point(-77.918611111 21.378611111)
http://www.wikidata.org/entity/Q99601893,Céleste Hardouin,1832,http://www.wikidata.org/entity/Q1138781,Bréhémont,Point(0.355555555 47.295)
http://www.wikidata.org/entity/Q2418031,Mary Edwards Walker,1832,http://www.wikidata.org/entity/Q7108221,Oswego,Point(-76.5511 43.4167)
http://www.wikidata.org/entity/Q7422061,Sarah Anne Curzon,1833,http://www.wikidata.org/entity/Q2256,Birmingham,Point(-1.9025 52.48)
http://www.wikidata.org/entity/Q43400824,Barbare Jorjadze,1833,http://www.wikidata.org/entity/Q2364582,Kistauri,Point(45.2875 41.9925)
http://www.wikidata.org/entity/Q2406076,Betsy Perk,1833,http://www.wikidata.org/entity/Q690,Delft,Point(4.359166666 52.011666666)
http://www.wikidata.org/entity/Q15881199,Reinoudina de Goeje,1833,http://www.wikidata.org/entity/Q2478279,Lippenhuizen,Point(6.0936 53.0169)
http://www.wikidata.org/entity/Q6548258,Lillie Devereux Blake,1833,http://www.wikidata.org/entity/Q41087,Raleigh,Point(-78.64 35.78)
http://www.wikidata.org/entity/Q4935550,Ellen Anckarsvärd,1833,http://www.wikidata.org/entity/Q10526665,The Royal Court Parish,Point(18.072725 59.326538888)
http://www.wikidata.org/entity/Q5045142,Caroline M. Nichols Churchill,1833,http://www.wikidata.org/entity/Q386338,Whitby,Point(-78.942222222 43.88)
http://www.wikidata.org/entity/Q5045142,Caroline M. Nichols Churchill,1833,http://www.wikidata.org/entity/Q386626,Pickering,Point(-79.130833333 43.906944444)
http://www.wikidata.org/entity/Q19059794,Maria Scheltema,1834,http://www.wikidata.org/entity/Q11025,Semarang,Point(110.4225 -6.99)
http://www.wikidata.org/entity/Q2178531,Mariane van Hogendorp,1834,http://www.wikidata.org/entity/Q36600,The Hague,Point(4.31 52.08)
http://www.wikidata.org/entity/Q18603370,Anna Wolterbeek,1834,http://www.wikidata.org/entity/Q727,Amsterdam,Point(4.893611111 52.372777777)
http://www.wikidata.org/entity/Q61062488,Charlotte Klein,1834,http://www.wikidata.org/entity/Q26881,Helsingør,Point(12.6106 56.036)
http://www.wikidata.org/entity/Q7088941,Olympia Brown,1835,http://www.wikidata.org/entity/Q7237961,Prairie Ronde Township,Point(-85.7025 42.108611111)
http://www.wikidata.org/entity/Q2172619,Codien Zwaardemaker-Visscher,1835,http://www.wikidata.org/entity/Q803,Utrecht,Point(5.121666666 52.090833333)
http://www.wikidata.org/entity/Q4947472,Emily Faithfull,1835,http://www.wikidata.org/entity/Q2177281,Headley,Point(-0.271 51.277)
http://www.wikidata.org/entity/Q16551944,Emma Julia Hohenemser,1835,http://www.wikidata.org/entity/Q2119,Mannheim,Point(8.466111111 49.487777777)
http://www.wikidata.org/entity/Q3498121,Stella Blandy,1835,http://www.wikidata.org/entity/Q1152867,Montesquieu-Volvestre,Point(1.229722222 43.207777777)
http://www.wikidata.org/entity/Q16062917,Mary Ann Colclough,1836,http://www.wikidata.org/entity/Q84,London,Point(-0.1275 51.507222222)
http://www.wikidata.org/entity/Q3271709,Léonie de Waha,1836,http://www.wikidata.org/entity/Q3448357,"Rue Hors-Château, Liège",Point(5.57939 50.6473)
http://www.wikidata.org/entity/Q39064459,Karolīne Kronvalde,1836,http://www.wikidata.org/entity/Q6447622,Kurzeme Region,Point(22.0 57.0)
http://www.wikidata.org/entity/Q2934216,Jeltje de Bosch Kemper,1836,http://www.wikidata.org/entity/Q727,Amsterdam,Point(4.893611111 52.372777777)
http://www.wikidata.org/entity/Q18964089,Jutta Bojsen-Møller,1837,http://www.wikidata.org/entity/Q1019126,Store Heddinge,Point(12.3869 55.3086)
http://www.wikidata.org/entity/Q18528711,Louisa Mallet,1837,http://www.wikidata.org/entity/Q1348,Kolkata,Point(88.3638815 22.5726723)
http://www.wikidata.org/entity/Q191016,Fredrik Bajer,1837,http://www.wikidata.org/entity/Q104536747,Vester Egede,Point(11.9649 55.2653)
http://www.wikidata.org/entity/Q12336461,Sophie Petersen,1837,http://www.wikidata.org/entity/Q1748,Copenhagen,Point(12.568888888 55.676111111)
http://www.wikidata.org/entity/Q19755816,Estella Hijmans-Hertzveld,1837,http://www.wikidata.org/entity/Q36600,The Hague,Point(4.31 52.08)
http://www.wikidata.org/entity/Q4767002,Anna Filosofova,1837,http://www.wikidata.org/entity/Q656,Saint Petersburg,Point(30.316666666 59.95)
http://www.wikidata.org/entity/Q98324697,Emily Josephine Leonard,1837,http://www.wikidata.org/entity/Q54220,Meriden,Point(-72.794722222 41.536666666)
http://www.wikidata.org/entity/Q21537256,Eliza Pottie,1837,http://www.wikidata.org/entity/Q10686,Belfast,Point(-5.93 54.596388888)
http://www.wikidata.org/entity/Q18086799,Henry Richard Fox Bourne,1837,http://www.wikidata.org/entity/Q885808,Blue Mountains,Point(-76.66666667 18.1)
http://www.wikidata.org/entity/Q15699735,Maria Flechtenmacher,1838,http://www.wikidata.org/entity/Q19660,Bucharest,Point(26.097777777 44.413361111)
http://www.wikidata.org/entity/Q29877791,Eliza Archard Conner,1838,http://www.wikidata.org/entity/Q485582,Clermont County,Point(-84.15 39.05)
http://www.wikidata.org/entity/Q2831927,Albion W. Tourgée,1838,http://www.wikidata.org/entity/Q8021198,Williamsfield,Point(-80.5706 41.5333)
http://www.wikidata.org/entity/Q15635054,Isabelle Bogelot,1838,http://www.wikidata.org/entity/Q2845753,former 2nd arrondissement of Paris,Point(2.340506 48.872674)
http://www.wikidata.org/entity/Q5920798,Isabel Muñoz-Caravaca,1838,http://www.wikidata.org/entity/Q2807,Madrid,Point(-3.703333333 40.416944444)
