"fk_personne","personne","gender","zone_geo","annee_naissance","domaines","eff"
http://www.wikidata.org/entity/Q20810513,Kat Blaque,LGBTQ,Amérique du nord,1990,"autre,cinema_TV,artiste,autre,autre,acti_droits_LGBT",6
http://www.wikidata.org/entity/Q20747070,Karla Micheel Salas Ramírez,F,Amérique du sud,1980,"droit,acti_droits_humains,acti_droits_femmes,droit,acti_droits_humains,acti_droits_femmes",6
http://www.wikidata.org/entity/Q20739020,Elena Djionat,F,Europe,1888,"enseignement,feministe,ecrivain_ne,ecrivain_ne,politique,acti_droits_femmes",6
http://www.wikidata.org/entity/Q2070292,P. R. Stephensen,M,Océanie,1901,"ecrivain_ne,politique,ecrivain_ne,ecrivain_ne,acti_droits_humains,SHS",6
http://www.wikidata.org/entity/Q20439390,Yolanda Becerra Vega,F,Amérique du sud,1959,"acti_droits_humains,acti_droits_humains,acti_droits_femmes,acti_droits_humains,acti_droits_humains,acti_droits_femmes",6
http://www.wikidata.org/entity/Q19956541,Marguerite Gobat,F,Europe,1870,"enseignement,ecrivain_ne,ecrivain_ne,ecrivain_ne,acti_droits_humains,acti_droits_femmes",6
http://www.wikidata.org/entity/Q19894103,Kenita Placide,F,Amérique du nord,1978,"acti_droits_humains,acti_droits_LGBT,acti_droits_LGBT,acti_droits_humains,acti_droits_LGBT,acti_droits_LGBT",6
http://www.wikidata.org/entity/Q1982054,Andreas Burnier,F,Europe,1931,"ecrivain_ne,ecrivain_ne,enseignement,sciences_experimentales,acti_droits_femmes,feministe",6
http://www.wikidata.org/entity/Q19766231,Eleanor Tufts,F,Amérique du nord,1927,"ecrivain_ne,SHS,artiste,SHS,ecrivain_ne,acti_droits_femmes",6
http://www.wikidata.org/entity/Q19664860,Rebecca Masika Katsuva,F,Afrique,1966,"acti_droits_humains,politique,acti_droits_femmes,acti_droits_humains,politique,acti_droits_femmes",6
http://www.wikidata.org/entity/Q1923264,Riffat Hassan,F,Amérique du nord,1943,"SHS,acti_droits_humains,acti_droits_femmes,SHS,acti_droits_humains,acti_droits_femmes",6
http://www.wikidata.org/entity/Q190894,Henri La Fontaine,M,Europe,1854,"droit,politique,droit,ecrivain_ne,acti_droits_humains,acti_droits_femmes",6
http://www.wikidata.org/entity/Q18947,Laurie Holden,F,Amérique du nord,1969,"acti_droits_humains,cinema_TV,cinema_TV,cinema_TV,cinema_TV,cinema_TV",6
http://www.wikidata.org/entity/Q18934829,Alessandra Comini,F,Amérique du nord,1934,"SHS,artiste,SHS,enseignement,acti_droits_femmes,autre",6
http://www.wikidata.org/entity/Q187930,Bayard Rustin,M,Amérique du nord,1912,"politique,acti_droits_humains,politique,politique,politique,acti_droits_LGBT",6
http://www.wikidata.org/entity/Q18762034,Margaret Parker,F,Europe,1827,"ecrivain_ne,feministe,acti_droits_humains,politique,acti_droits_femmes,sante",6
http://www.wikidata.org/entity/Q18738721,Leonore Davidoff,F,Europe,1932,"SHS,SHS,SHS,enseignement,ecrivain_ne,acti_droits_femmes",6
http://www.wikidata.org/entity/Q18645948,Ana Figuero,F,Amérique du sud,1907,"politique,autre,feministe,enseignement,politique,acti_droits_femmes",6
http://www.wikidata.org/entity/Q18609143,Milán Rózsa,M,Europe,1988,"acti_droits_humains,politique,acti_droits_LGBT,acti_droits_humains,politique,acti_droits_LGBT",6
http://www.wikidata.org/entity/Q1855794,Yu Jie,M,Asie ,1973,"ecrivain_ne,ecrivain_ne,acti_droits_humains,cinema_TV,ecrivain_ne,ecrivain_ne",6
http://www.wikidata.org/entity/Q18001222,Miss Major Griffin-Gracy,LGBTQ,Amérique du nord,1940,"acti_droits_humains,politique,acti_droits_LGBT,acti_droits_humains,politique,acti_droits_LGBT",6
http://www.wikidata.org/entity/Q179558,Alexandra Kollontai,F,Europe,1872,"ecrivain_ne,politique,politique,autre,SHS,acti_droits_femmes",6
http://www.wikidata.org/entity/Q17421672,Ilie Moscovici,M,Europe,1885,"politique,ecrivain_ne,acti_droits_humains,sante,sante,politique",6
http://www.wikidata.org/entity/Q17362306,Anna Paradowska-Szelągowska,F,Europe,1879,"politique,autre,acti_droits_femmes,politique,autre,acti_droits_femmes",6
http://www.wikidata.org/entity/Q172766,Merlin Stone,F,Amérique du nord,1931,"ecrivain_ne,SHS,artiste,enseignement,enseignement,acti_droits_femmes",6
http://www.wikidata.org/entity/Q16941873,Jenn Díaz,F,Europe,1988,"ecrivain_ne,politique,ecrivain_ne,ecrivain_ne,SHS,acti_droits_femmes",6
http://www.wikidata.org/entity/Q16734324,Claudia Paz y Paz,F,Amérique du sud,1967,"droit,droit,droit,acti_droits_humains,SHS,politique",6
http://www.wikidata.org/entity/Q166641,Alexander Ginzburg,M,Europe,1936,"ecrivain_ne,ecrivain_ne,politique,acti_droits_humains,ecrivain_ne,autre",6
http://www.wikidata.org/entity/Q1662216,Ines Köhler-Zülch,F,Europe,1941,"ecrivain_ne,acti_droits_humains,SHS,SHS,SHS,SHS",6
http://www.wikidata.org/entity/Q1643081,Aleksei Simonov,M,Europe,1938,"acti_droits_humains,ecrivain_ne,cinema_TV,acti_droits_humains,ecrivain_ne,cinema_TV",6
http://www.wikidata.org/entity/Q16298657,Daniel Arzola,M,Amérique du sud,1989,"ecrivain_ne,acti_droits_humains,acti_droits_LGBT,ecrivain_ne,acti_droits_humains,acti_droits_LGBT",6
http://www.wikidata.org/entity/Q16197276,Amy Allen,F,Amérique du nord,1970,"enseignement,enseignement,SHS,SHS,ecrivain_ne,acti_droits_femmes",6
http://www.wikidata.org/entity/Q160163,Norman Finkelstein,M,Amérique du nord,1953,"ecrivain_ne,SHS,SHS,acti_droits_humains,enseignement,enseignement",6
http://www.wikidata.org/entity/Q15907950,Chang Mo-chun,F,Asie ,1883,"politique,artiste,acti_droits_femmes,politique,artiste,acti_droits_femmes",6
http://www.wikidata.org/entity/Q15829901,Anna Pammrová,F,Europe,1860,"ecrivain_ne,enseignement,ecrivain_ne,SHS,acti_droits_femmes,autre",6
http://www.wikidata.org/entity/Q15462975,Helen Dortch Longstreet,F,Amérique du nord,1863,"cinema_TV,ecrivain_ne,ecrivain_ne,autre,acti_climat,acti_droits_femmes",6
http://www.wikidata.org/entity/Q15401123,Julija Mickiewicz,F,Europe,1979,"acti_droits_humains,ecrivain_ne,acti_droits_LGBT,acti_droits_humains,ecrivain_ne,acti_droits_LGBT",6
http://www.wikidata.org/entity/Q15040884,David Batstone,M,Amérique du nord,1958,"autre,SHS,acti_droits_humains,ecrivain_ne,SHS,SHS",6
http://www.wikidata.org/entity/Q1458543,Valery Chalidze,M,Europe,1938,"ecrivain_ne,sciences_experimentales,politique,acti_droits_humains,autre,ecrivain_ne",6
http://www.wikidata.org/entity/Q144391,Mahasweta Devi,F,Asie ,1926,"ecrivain_ne,ecrivain_ne,enseignement,acti_droits_humains,ecrivain_ne,ecrivain_ne",6
http://www.wikidata.org/entity/Q1396156,Elena Milashina,F,Europe,1977,"ecrivain_ne,cinema_TV,autre,acti_droits_humains,ecrivain_ne,ecrivain_ne",6
http://www.wikidata.org/entity/Q1396140,Alla Gerber,F,Europe,1932,"ecrivain_ne,politique,autre,acti_droits_humains,ecrivain_ne,politique",6
http://www.wikidata.org/entity/Q13574559,Nezihe Muhiddin,F,Asie ,1889,"ecrivain_ne,politique,ecrivain_ne,politique,feministe,acti_droits_femmes",6
http://www.wikidata.org/entity/Q131240,Anna Politkovskaya,F,Europe,1958,"ecrivain_ne,ecrivain_ne,acti_droits_humains,ecrivain_ne,politique,acti_droits_humains",6
http://www.wikidata.org/entity/Q13071782,Ma Thida,F,Asie ,1966,"ecrivain_ne,politique,sante,acti_droits_humains,ecrivain_ne,politique",6
http://www.wikidata.org/entity/Q1264246,Bertha Lutz,F,Amérique du sud,1894,"ecrivain_ne,politique,sciences_experimentales,sciences_experimentales,sciences_experimentales,acti_droits_femmes",6
http://www.wikidata.org/entity/Q124343157,Gabriel Canci,M,Amérique du sud,1969,"cinema_TV,autre,artiste,cinema_TV,acti_droits_LGBT,autre",6
http://www.wikidata.org/entity/Q121492,Andreas Sternweiler,M,Europe,1957,"ecrivain_ne,ecrivain_ne,artiste,ecrivain_ne,SHS,acti_droits_LGBT",6
http://www.wikidata.org/entity/Q11971888,Gerd von der Lippe,F,Europe,1942,"enseignement,SHS,autre,ecrivain_ne,ecrivain_ne,acti_droits_femmes",6
